sale_date,product_name,category,quantity,unit_price,revenue,base_price,discount_pct,event,campaign,day_of_week,month,is_weekend
2024-01-01,Premium Dates 500g,Dried Fruits,28,25.0,700.0,25,0,,,Monday,1,False
2024-01-02,Premium Dates 500g,Dried Fruits,25,25.0,625.0,25,0,,,Tuesday,1,False
2024-01-03,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Wednesday,1,False
2024-01-04,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Thursday,1,False
2024-01-05,Premium Dates 500g,Dried Fruits,49,25.0,1225.0,25,0,,,Friday,1,True
2024-01-06,Premium Dates 500g,Dried Fruits,37,25.0,925.0,25,0,,,Saturday,1,True
2024-01-07,Premium Dates 500g,Dried Fruits,23,25.0,575.0,25,0,,,Sunday,1,False
2024-01-08,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Monday,1,False
2024-01-09,Premium Dates 500g,Dried Fruits,36,25.0,900.0,25,0,,,Tuesday,1,False
2024-01-10,Premium Dates 500g,Dried Fruits,32,25.0,800.0,25,0,,,Wednesday,1,False
2024-01-11,Premium Dates 500g,Dried Fruits,26,25.0,650.0,25,0,,,Thursday,1,False
2024-01-12,Premium Dates 500g,Dried Fruits,36,25.0,900.0,25,0,,,Friday,1,True
2024-01-13,Premium Dates 500g,Dried Fruits,41,25.0,1025.0,25,0,,,Saturday,1,True
2024-01-14,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Sunday,1,False
2024-01-15,Premium Dates 500g,Dried Fruits,24,25.0,600.0,25,0,,,Monday,1,False
2024-01-16,Premium Dates 500g,Dried Fruits,27,25.0,675.0,25,0,,,Tuesday,1,False
2024-01-17,Premium Dates 500g,Dried Fruits,35,25.0,875.0,25,0,,,Wednesday,1,False
2024-01-18,Premium Dates 500g,Dried Fruits,31,25.0,775.0,25,0,,,Thursday,1,False
2024-01-19,Premium Dates 500g,Dried Fruits,16,25.0,400.0,25,0,,,Friday,1,True
2024-01-20,Premium Dates 500g,Dried Fruits,37,25.0,925.0,25,0,,,Saturday,1,True
2024-01-21,Premium Dates 500g,Dried Fruits,31,25.0,775.0,25,0,,,Sunday,1,False
2024-01-22,Premium Dates 500g,Dried Fruits,23,25.0,575.0,25,0,,,Monday,1,False
2024-01-23,Premium Dates 500g,Dried Fruits,31,25.0,775.0,25,0,,,Tuesday,1,False
2024-01-24,Premium Dates 500g,Dried Fruits,16,25.0,400.0,25,0,,,Wednesday,1,False
2024-01-25,Premium Dates 500g,Dried Fruits,21,25.0,525.0,25,0,,,Thursday,1,False
2024-01-26,Premium Dates 500g,Dried Fruits,34,25.0,850.0,25,0,,,Friday,1,True
2024-01-27,Premium Dates 500g,Dried Fruits,44,25.0,1100.0,25,0,,,Saturday,1,True
2024-01-28,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Sunday,1,False
2024-01-29,Premium Dates 500g,Dried Fruits,25,25.0,625.0,25,0,,,Monday,1,False
2024-01-30,Premium Dates 500g,Dried Fruits,39,25.0,975.0,25,0,,,Tuesday,1,False
2024-01-31,Premium Dates 500g,Dried Fruits,30,25.0,750.0,25,0,,,Wednesday,1,False
2024-02-01,Premium Dates 500g,Dried Fruits,25,25.0,625.0,25,0,,,Thursday,2,False
2024-02-02,Premium Dates 500g,Dried Fruits,36,25.0,900.0,25,0,,,Friday,2,True
2024-02-03,Premium Dates 500g,Dried Fruits,43,25.0,1075.0,25,0,,,Saturday,2,True
2024-02-04,Premium Dates 500g,Dried Fruits,26,25.0,650.0,25,0,,,Sunday,2,False
2024-02-05,Premium Dates 500g,Dried Fruits,6,25.0,150.0,25,0,,,Monday,2,False
2024-02-06,Premium Dates 500g,Dried Fruits,29,25.0,725.0,25,0,,,Tuesday,2,False
2024-02-07,Premium Dates 500g,Dried Fruits,28,25.0,700.0,25,0,,,Wednesday,2,False
2024-02-08,Premium Dates 500g,Dried Fruits,32,25.0,800.0,25,0,,,Thursday,2,False
2024-02-09,Premium Dates 500g,Dried Fruits,42,25.0,1050.0,25,0,,,Friday,2,True
2024-02-10,Premium Dates 500g,Dried Fruits,39,25.0,975.0,25,0,,,Saturday,2,True
2024-02-11,Premium Dates 500g,Dried Fruits,22,25.0,550.0,25,0,,,Sunday,2,False
2024-02-12,Premium Dates 500g,Dried Fruits,11,25.0,275.0,25,0,,,Monday,2,False
2024-02-13,Premium Dates 500g,Dried Fruits,29,25.0,725.0,25,0,,,Tuesday,2,False
2024-02-14,Premium Dates 500g,Dried Fruits,31,25.0,775.0,25,0,,,Wednesday,2,False
2024-02-15,Premium Dates 500g,Dried Fruits,32,25.0,800.0,25,0,,,Thursday,2,False
2024-02-16,Premium Dates 500g,Dried Fruits,36,25.0,900.0,25,0,,,Friday,2,True
2024-02-17,Premium Dates 500g,Dried Fruits,37,25.0,925.0,25,0,,,Saturday,2,True
2024-02-18,Premium Dates 500g,Dried Fruits,26,25.0,650.0,25,0,,,Sunday,2,False
2024-02-19,Premium Dates 500g,Dried Fruits,23,25.0,575.0,25,0,,,Monday,2,False
2024-02-20,Premium Dates 500g,Dried Fruits,35,25.0,875.0,25,0,,,Tuesday,2,False
2024-02-21,Premium Dates 500g,Dried Fruits,34,25.0,850.0,25,0,,,Wednesday,2,False
2024-02-22,Premium Dates 500g,Dried Fruits,24,25.0,600.0,25,0,,,Thursday,2,False
2024-02-23,Premium Dates 500g,Dried Fruits,53,25.0,1325.0,25,0,,,Friday,2,True
2024-02-24,Premium Dates 500g,Dried Fruits,32,25.0,800.0,25,0,,,Saturday,2,True
2024-02-25,Premium Dates 500g,Dried Fruits,23,25.0,575.0,25,0,,,Sunday,2,False
